,osm_id,amenity,beds,addrcity,opening_ho,shop,addrhousen,addrfull,source,man_made,addrstreet,tourism,rooms,name,geometry,long,lat,nearest_office,nearest_school
8,298739823.0,restaurant,,,,,,,,,,,,Peyek Uceng,POINT (112.3291454 -8.0666568),112.3291454,-8.0666568,1.3373211365909121,1.1559069280724141
12,298741251.0,restaurant,,,,,,,,,,,,Presiden Lesehan,POINT (112.1859257 -8.0719605),112.1859257,-8.0719605,2.8447334705605773,1.1916550966618267
14,298741411.0,restaurant,,,,,,,,,,,,Sania Lesehan,POINT (112.1828019 -8.0915328),112.1828019,-8.0915328,1.193228941391825,0.4681340021121678
17,415826788.0,restaurant,,,,,,,,,,,,Mie Hokkien Rajake,POINT (112.7560738 -7.2658834),112.7560738,-7.2658834,0.3589633249703437,0.6970884018846892
18,415826789.0,cafe,,,,,,,,,,,,Cafe Glass,POINT (112.7646912 -7.2661303),112.7646912,-7.2661303,0.42083830791917803,0.842061499605361
23,420468986.0,restaurant,,,,,,,,,,,,Ah Yat Abalone Forum,POINT (112.7153034 -7.2921492),112.7153034,-7.2921492,0.21948884602907978,0.8384827153971802
26,420911120.0,restaurant,,Prigen,,,58,,,,Jalan Raya,,,Sudi Mampir,POINT (112.640351 -7.6808683),112.640351,-7.6808683,1.9334502963396487,0.025965821079453916
27,421219476.0,restaurant,,,,,,,,,,,,Daun Lada,POINT (112.7068932 -7.282439),112.7068932,-7.282439,0.7490552537228122,0.7597432820679417
30,421263098.0,restaurant,,,,,,,,,,,,Ikan Bakar Cianjur,POINT (112.697512 -7.6612106),112.697512,-7.6612106,1.275255736461197,6.693959349783323
31,421991642.0,restaurant,,,,,,,,,,,,Kuningan Restaurant,POINT (112.750176 -7.2716247),112.750176,-7.2716247,0.37167481379300016,0.7364660647209917
68,719063919.0,restaurant,,,,,,,,,,,,Bakso radja,POINT (112.1610837 -8.0998595),112.1610837,-8.0998595,0.2146983039373722,0.35235407630571713
95,1247353085.0,cafe,,,,,,,,,,,,Hargo Dalem,POINT (111.1968108 -7.625256),111.1968108,-7.625256,14.293282516169562,12.04826144105689
